"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000099988.6",13,32,64,34,29,47,37,78,77,0,0
"ENSMUSG00000097001.1",0,5,1,0,3,3,5,5,3,0,0
"ENSMUSG00000100219.1",1,7,11,15,9,4,9,20,18,0,0
"ENSMUSG00000085889.1",2,4,15,11,12,23,6,27,32,0,0
"ENSMUSG00000093616.1",7,11,20,1,14,16,9,23,23,0,0
"ENSMUSG00000070997.4",81,62,64,36,44,62,63,94,89,4,8
"ENSMUSG00000044854.7",20,10,26,124,120,138,101,270,136,2,27
"ENSMUSG00000084792.1",175,220,245,204,271,211,252,467,415,1,1
"ENSMUSG00000074139.8",64,108,226,130,152,174,121,559,302,0,1
"ENSMUSG00000084757.7",130,233,497,264,330,307,198,580,670,0,0
"ENSMUSG00000086007.1",24,66,99,59,65,72,35,189,185,0,0
"ENSMUSG00000089636.1",83,77,116,111,151,201,129,324,277,0,0
"ENSMUSG00000086887.1",122,193,396,273,250,263,142,402,529,0,0
"ENSMUSG00000078957.3",23,34,29,8,16,30,12,29,53,0,0
"ENSMUSG00000084970.1",108,160,156,126,131,103,115,214,122,0,0
"ENSMUSG00000099407.1",68,72,171,96,94,109,68,112,151,0,0
